,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
58,2021-09-01,748.8927611016499,-26.214103565440066,1507.7479288560037,709.6577922637771,788.7718382419501,-29.770962640460112,-29.770962640460112,-29.770962640460112,-58.355307170148336,-58.355307170148336,-58.355307170148336,28.584344529688224,28.584344529688224,28.584344529688224,0.0,0.0,0.0,719.1217984611898
59,2021-09-02,750.3629895038662,16.46518712154846,1577.7039769158193,710.1315274699654,791.0735020246375,20.86474780566556,20.86474780566556,20.86474780566556,-4.634685224735601,-4.634685224735601,-4.634685224735601,25.49943303040116,25.49943303040116,25.49943303040116,0.0,0.0,0.0,771.2277373095317
60,2021-09-03,751.8332179060818,-22.39351779961844,1508.480983704269,710.6728139838532,793.5953509833635,-0.996053713404971,-0.996053713404971,-0.996053713404971,-23.069250390393353,-23.069250390393353,-23.069250390393353,22.073196676988385,22.073196676988385,22.073196676988385,0.0,0.0,0.0,750.8371641926768
61,2021-09-04,753.3034463082981,98.36559078002094,1563.015704341995,711.3006395235989,795.6849396344442,91.7556303932686,91.7556303932686,91.7556303932686,73.42368841358736,73.42368841358736,73.42368841358736,18.331941979681247,18.331941979681247,18.331941979681247,0.0,0.0,0.0,845.0590767015667
62,2021-09-05,754.7736747105141,92.63795449840066,1569.2341121950108,711.7868586078681,798.8571679546267,87.67131747589136,87.67131747589136,87.67131747589136,73.36118910201111,73.36118910201111,73.36118910201111,14.31012837388026,14.31012837388026,14.31012837388026,0.0,0.0,0.0,842.4449921864054
63,2021-09-06,756.2439031127304,-10.665090722617979,1490.7513414061455,712.4606848888039,801.419678432431,-12.202870069497024,-12.202870069497024,-12.202870069497024,-22.252942537966486,-22.252942537966486,-22.252942537966486,10.050072468469462,10.050072468469462,10.050072468469462,0.0,0.0,0.0,744.0410330432334
64,2021-09-07,757.7141315149465,-32.696368269156515,1524.1849227581927,713.1791205437424,803.6916576095911,-32.87130313293963,-32.87130313293963,-32.87130313293963,-38.47269219196263,-38.47269219196263,-38.47269219196263,5.601389059022998,5.601389059022998,5.601389059022998,0.0,0.0,0.0,724.8428283820069
65,2021-09-08,759.1843599171625,-70.84366073860481,1417.148822284172,713.6253764159214,805.9441334420435,-57.33512603023213,-57.33512603023213,-57.33512603023213,-58.35530717010623,-58.35530717010623,-58.35530717010623,1.020181139874097,1.020181139874097,1.020181139874097,0.0,0.0,0.0,701.8492338869304
66,2021-09-09,760.6545883193785,35.88418712869811,1580.5449267071494,714.6886560317695,808.1314344318932,-8.266685887118026,-8.266685887118026,-8.266685887118026,-4.634685224789235,-4.634685224789235,-4.634685224789235,-3.6320006623287875,-3.6320006623287875,-3.6320006623287875,0.0,0.0,0.0,752.3879024322605
67,2021-09-10,762.1248167215945,28.111064640924056,1449.7527015109345,715.6360123268003,810.5918386393354,-31.358651639693576,-31.358651639693576,-31.358651639693576,-23.069250390439485,-23.069250390439485,-23.069250390439485,-8.28940124925409,-8.28940124925409,-8.28940124925409,0.0,0.0,0.0,730.7661650819009
